masked_consumer_id,evaluation_date,total_balance,FPF_TARGET
C01100827,2023/1/25,3769.42,0
C01101332,2022/2/8,161891.97,0
C01101511,2021/10/13,33706.51,0
C01101513,2023/3/3,29643.29,1
C01101556,2022/8/25,8576.49,0
C01101780,2023/3/27,4296.23,0
C01101893,2022/9/21,9986.53,0
C01102909,2022/8/5,99.03,0
C01103213,2022/9/23,530.45,0
C01103714,2022/9/7,400,0
C01104328,2023/3/6,338.71,0
C01104364,2022/7/25,24044.39,0
C01104512,2022/4/13,14306.27,0
C01104549,2021/10/19,46923.91,0
C01104661,2022/9/15,602.61,0
C02100032,2023/5/10,2.43,1
C02100047,2023/1/12,33.58,1
C02100120,2023/6/1,23.11,1
C02100221,2022/10/28,1234.66,1
C02100281,2023/4/7,6.75,1
C02100285,2022/11/11,248.52,1
C02100326,2023/2/19,117.43,1
C02100478,2023/1/27,58.34,1
C02100491,2022/12/1,457.87,1
C02100544,2023/7/11,1.36,0
C02100728,2023/5/29,-75.77,1
C02101101,2022/11/13,-23.74,1
C02101157,2023/4/29,-13.7,0
C02101370,2023/5/11,1348.17,1
C02101540,2022/11/11,8.66,1
C02101546,2022/12/10,141.03,1
C02101744,2022/11/2,0.01,1
C02101837,2023/1/12,16.64,1
C02101926,2023/5/19,62.95,1
C02101975,2022/12/22,399.5,1
C02102201,2023/6/30,1568.09,0
C02102219,2022/11/4,51.81,1
C02102335,2022/11/18,187.09,1
C02102472,2022/11/30,2.11,1
C02102502,2023/4/28,6.53,1
C02102511,2023/5/11,40.38,1
C02102527,2023/5/27,61.6,1
C02102635,2023/4/18,9.09,0
C02102951,2022/12/30,734.93,1
C02103012,2022/11/25,406.25,1
C02103113,2022/11/21,0,1
C02103153,2022/11/7,-79.76,1
C02103286,2022/11/30,-119.36,1
C02103291,2023/7/18,302.96,0
C02103314,2023/5/9,12.95,1
C02103419,2022/12/20,0.02,1
C02103528,2022/11/11,535.37,0
C02103538,2023/3/27,-65.37,1
C02103564,2023/5/28,107.58,0
C02103566,2023/3/19,800.6,1
C02103603,2023/3/17,26.74,1
C02103808,2022/12/9,7.3,1
C02103834,2022/12/14,0.04,1
C02103935,2023/1/12,45.86,1
C02104033,2022/11/3,-86.97,1
C02104263,2023/1/12,-10.99,1
C02104515,2022/12/20,869.69,1
C02104972,2023/1/14,998.87,1
C03100481,2022/10/10,134.12,0
C03100508,2022/10/20,8.08,0
C03101431,2022/11/4,101.57,0
C03101742,2022/10/16,1556.65,0
C03101908,2022/10/17,531.67,0
C03101990,2022/10/20,-84.73,1
C03102205,2022/12/2,30.17,0
C03102258,2022/12/28,14100.52,0
C03102276,2022/12/27,23404.76,0
C03102305,2022/12/27,533.13,0
C03102386,2022/12/1,139.42,0
C03103086,2022/12/2,2.34,0
C03103096,2022/11/25,-104.75,0
C03103565,2023/1/9,0,0
C03103969,2023/1/10,34.59,0
C04100102,2021/9/9,822.77,1
C04100192,2021/10/16,1116.81,1
C04100483,2022/2/7,2219.82,0
C04100641,2022/3/8,1782.01,0
C04100902,2022/5/9,11659.27,1
C04101486,2022/6/16,884.6,0
C04101538,2022/6/23,2451.73,1
C04101547,2022/6/24,397.56,1
C04101877,2022/11/10,2202.73,0
C04102515,2022/10/7,301.95,0
C04102595,2022/10/15,797.53,1
C04102655,2022/10/19,11162.07,0
C04102821,2022/11/2,1711.36,0
C04103386,2023/3/23,686.58,0
C04103576,2022/12/27,13177.15,0
C04103609,2022/12/29,112.68,1
C04103833,2023/1/15,1327.47,0
C04103871,2023/1/18,1908.29,0
C04103880,2023/1/18,1001.56,0
C04103969,2023/1/23,4359.82,0
C04104406,2023/2/21,422.35,0
C04104444,2023/2/23,14722.01,0
