masked_consumer_id,posted_date,amount,category,masked_transaction_id
C01100827,2022/3/17,0.01,7,C01T0939414
C01100827,2022/2/11,2867,0,C01T0939415
C01100827,2022/3/25,3000,0,C01T0939416
C01100827,2022/12/23,48.47,4,C01T0939417
C01100827,2022/4/22,2866,0,C01T0939418
C01100827,2022/5/18,0.01,7,C01T0939419
C01100827,2022/12/19,0.02,7,C01T0939420
C01100827,2022/8/17,0.01,7,C01T0939421
C01100827,2022/10/5,100,1,C01T0939422
C01100827,2022/12/19,0.02,7,C01T0939423
C01100827,2022/5/20,2866.41,5,C01T0939424
C01100827,2022/6/17,0.01,7,C01T0939425
C01100827,2022/8/12,2866,0,C01T0939426
C01100827,2022/10/11,2047.6,2,C01T0939427
C01100827,2023/1/17,200,0,C01T0939428
C01100827,2022/9/23,3034.01,5,C01T0939429
C01100827,2022/6/17,0.01,7,C01T0939430
C01100827,2022/2/11,2866.42,5,C01T0939431
C01100827,2022/11/18,0.01,7,C01T0939432
C01100827,2022/11/18,0.01,7,C01T0939433
C01100827,2022/9/2,3000,0,C01T0939434
C01100827,2022/10/19,55,1,C01T0939435
C01100827,2022/7/8,1700,1,C01T0939436
C01100827,2022/5/13,1700,1,C01T0939437
C01100827,2022/4/22,2866.41,5,C01T0939438
C01100827,2022/7/14,2535,7,C01T0939439
C01100827,2022/4/19,0.03,7,C01T0939440
C01100827,2022/2/1,35,1,C01T0939441
C01100827,2022/6/3,3000,0,C01T0939442
C01100827,2022/12/14,150,4,C01T0939443
C01100827,2022/3/4,1600,1,C01T0939444
C01100827,2022/5/2,25,1,C01T0939445
C01100827,2022/7/8,2950,0,C01T0939446
C01100827,2022/4/8,2866.42,5,C01T0939447
C01100827,2022/3/11,6500,0,C01T0939448
C01100827,2022/3/17,0.02,7,C01T0939449
C01100827,2022/8/26,3029.86,5,C01T0939450
C01100827,2022/12/21,500,7,C01T0939451
C01100827,2022/1/26,57.98,4,C01T0939452
C01100827,2022/10/20,0.02,7,C01T0939453
C01100827,2022/5/18,0.01,7,C01T0939454
C01100827,2022/9/20,0.01,7,C01T0939455
C01100827,2022/4/11,1700,1,C01T0939456
